techs,demand_electricity_E3B,demand_electricity_E3C,demand_electricity_E1A,demand_electricity_E3B,demand_electricity_E2A,demand_electricity_E3C,demand_electricity_E2A,demand_electricity_E2A,demand_electricity_E2A,demand_electricity_E3C,demand_mobility,demand_electricity_E3C
nodes,Amp_125,Amp_160,Amp_25,Amp_250,Amp_35,Amp_400,Amp_50,Amp_63,Amp_80,kVA_630,EV_charger,VD_Lem
2019-09-01 00:00:00,15.987,5.35,9.237,55.925,14.488,14.775,8.675,16.85,28.925,54.575,0.0,205.987
2019-09-01 01:00:00,15.512,5.188,7.912,54.275,14.112,14.338,8.45,16.412,28.175,52.975,0.0,209.338
2019-09-01 02:00:00,15.913,5.325,7.4,55.662,13.538,14.7,8.113,15.75,27.037,54.312,0.0,209.338
2019-09-01 03:00:00,15.412,5.15,7.15,53.925,13.188,14.25,7.9,15.35,26.338,52.625,0.0,210.188
2019-09-01 04:00:00,15.8,5.288,7.062,55.3,13.688,14.612,8.2,15.925,27.325,53.975,0.0,210.6
2019-09-01 05:00:00,15.438,5.162,7.05,54.037,15.362,14.275,9.2,17.875,30.662,52.725,0.0,208.088
2019-09-01 06:00:00,14.85,4.962,8.137,51.938,17.1,13.725,10.237,19.9,34.15,50.688,0.0,203.05
2019-09-01 07:00:00,15.575,5.212,10.738,54.512,18.162,14.4,10.875,21.125,36.262,53.188,0.0,199.688
2019-09-01 08:00:00,16.888,5.65,13.125,59.1,18.275,15.612,10.938,21.25,36.475,57.675,0.0,200.538
2019-09-01 09:00:00,18.338,6.138,14.488,64.15,18.462,16.95,11.062,21.488,36.875,62.6,0.0,199.688
2019-09-01 10:00:00,18.675,6.25,14.812,65.338,19.8,17.262,11.85,23.038,39.525,63.762,281.25,200.112
2019-09-01 11:00:00,19.238,6.438,15.788,67.325,19.6,17.788,11.738,22.812,39.15,65.7,281.25,197.6
2019-09-01 12:00:00,19.512,6.525,15.475,68.262,19.2,18.025,11.5,22.338,38.338,66.612,281.25,192.562
2019-09-01 13:00:00,19.1,6.388,14.775,66.825,19.088,17.65,11.425,22.2,38.1,65.213,281.25,187.95
2019-09-01 14:00:00,19.075,6.375,14.225,66.738,18.762,17.625,11.238,21.825,37.45,65.125,281.25,185.85
2019-09-01 15:00:00,18.787,6.288,14.362,65.762,19.688,17.375,11.788,22.912,39.312,64.175,281.25,185.85
2019-09-01 16:00:00,18.388,6.15,17.638,64.338,21.362,17.0,12.8,24.85,42.65,62.787,281.25,186.688
2019-09-01 17:00:00,17.875,5.975,18.375,62.562,22.588,16.525,13.525,26.275,45.088,61.05,281.25,189.2
2019-09-01 18:00:00,17.738,5.938,16.888,62.05,23.088,16.388,13.825,26.85,46.088,60.562,0.0,188.788
2019-09-01 19:00:00,19.362,6.475,17.225,67.762,22.2,17.9,13.3,25.825,44.325,66.125,0.0,187.112
2019-09-01 20:00:00,19.638,6.575,16.675,68.725,21.375,18.15,12.8,24.862,42.662,67.075,0.0,187.525
2019-09-01 21:00:00,18.475,6.175,14.95,64.662,19.138,17.075,11.462,22.262,38.2,63.1,0.0,185.425
2019-09-01 22:00:00,17.25,5.775,12.375,60.362,16.7,15.95,10.0,19.425,33.338,58.912,0.0,185.425
2019-09-01 23:00:00,16.762,5.613,9.912,58.675,15.075,15.5,9.025,17.537,30.1,57.262,0.0,188.788
2019-09-02 00:00:00,17.3,5.788,8.312,60.512,13.913,15.987,8.338,16.188,27.788,59.05,0.0,188.362
2019-09-02 01:00:00,16.838,5.625,7.338,58.912,13.7,15.562,8.212,15.95,27.362,57.488,0.0,190.05
2019-09-02 02:00:00,16.85,5.637,7.075,58.95,13.162,15.575,7.887,15.312,26.275,57.525,0.0,193.4
2019-09-02 03:00:00,16.662,5.575,7.1,58.312,13.038,15.4,7.8,15.163,26.025,56.912,0.0,195.5
2019-09-02 04:00:00,17.588,5.875,7.25,61.525,13.725,16.25,8.225,15.975,27.412,60.05,0.0,197.6
2019-09-02 05:00:00,20.263,6.775,8.075,70.888,16.325,18.725,9.775,19.0,32.6,69.188,0.0,199.688
2019-09-02 06:00:00,16.825,5.625,9.912,58.875,19.15,15.55,11.462,22.275,38.225,57.45,0.0,198.85
2019-09-02 07:00:00,24.775,8.288,11.775,86.675,22.588,22.888,13.525,26.275,45.088,84.575,0.0,198.85
2019-09-02 08:00:00,26.825,8.975,12.938,93.863,23.312,24.787,13.962,27.125,46.55,91.6,0.0,198.012
2019-09-02 09:00:00,28.1,9.4,13.212,98.338,23.062,25.975,13.812,26.838,46.05,95.962,0.0,197.6
2019-09-02 10:00:00,29.1,9.738,13.138,101.838,24.038,26.9,14.4,27.963,47.988,99.388,281.25,198.85
2019-09-02 11:00:00,27.125,9.075,13.312,94.913,23.75,25.075,14.225,27.625,47.412,92.625,281.25,198.438
2019-09-02 12:00:00,28.662,9.588,12.388,100.288,23.25,26.488,13.925,27.05,46.425,97.863,281.25,197.6
2019-09-02 13:00:00,28.675,9.588,12.012,100.325,23.575,26.5,14.125,27.438,47.075,97.912,281.25,196.337
2019-09-02 14:00:00,27.562,9.225,12.188,96.45,23.262,25.475,13.938,27.062,46.45,94.125,281.25,195.075
2019-09-02 15:00:00,22.912,7.662,13.15,80.175,23.575,21.175,14.112,27.425,47.05,78.238,281.25,192.975
2019-09-02 16:00:00,15.925,5.325,17.55,55.712,23.862,14.712,14.288,27.763,47.65,54.375,281.25,193.825
2019-09-02 17:00:00,13.138,4.4,17.438,45.988,23.575,12.15,14.112,27.425,47.05,44.875,281.25,193.4
2019-09-02 18:00:00,13.2,4.412,15.95,46.162,23.812,12.2,14.262,27.7,47.538,45.05,0.0,193.825
2019-09-02 19:00:00,15.775,5.275,16.462,55.213,23.238,14.588,13.913,27.037,46.4,53.875,0.0,197.6
2019-09-02 20:00:00,15.4,5.15,16.513,53.875,21.912,14.225,13.125,25.5,43.75,52.575,0.0,197.175
2019-09-02 21:00:00,12.388,4.138,15.1,43.325,19.525,11.45,11.688,22.713,38.975,42.275,0.0,198.012
