techs,demand_heatpump_E3B,demand_heatpump_E3C,demand_heatpump_E1A,demand_heatpump_E3B,demand_heatpump_E2A,demand_heatpump_E3C,demand_heatpump_E2A,demand_heatpump_E2A,demand_heatpump_E2A,demand_heatpump_E3C,demand_heatpump_E3C
nodes,Amp_125,Amp_160,Amp_25,Amp_250,Amp_35,Amp_400,Amp_50,Amp_63,Amp_80,kVA_630,VD_Lem
2019-09-01 00:00:00,1.57,0.43,2.28,3.70,2.44,0.42,1.88,2.85,3.39,3.33,3.33
2019-09-01 01:00:00,1.64,0.45,2.37,3.86,2.54,0.44,1.96,2.98,3.53,3.48,3.48
2019-09-01 02:00:00,1.48,0.41,2.15,3.49,2.30,0.40,1.77,2.69,3.20,3.14,3.14
2019-09-01 03:00:00,1.92,0.53,2.79,4.53,2.98,0.51,2.30,3.49,4.15,4.08,4.08
2019-09-01 04:00:00,1.91,0.53,2.76,4.49,2.96,0.51,2.28,3.46,4.11,4.05,4.05
2019-09-01 05:00:00,1.73,0.48,2.50,4.07,2.68,0.46,2.06,3.14,3.73,3.67,3.67
2019-09-01 06:00:00,1.66,0.46,2.40,3.91,2.57,0.44,1.98,3.01,3.58,3.52,3.52
2019-09-01 07:00:00,1.57,0.43,2.27,3.69,2.43,0.42,1.87,2.85,3.38,3.32,3.32
2019-09-01 08:00:00,1.42,0.39,2.07,3.35,2.21,0.38,1.70,2.59,3.07,3.02,3.02
2019-09-01 09:00:00,1.61,0.44,2.34,3.80,2.50,0.43,1.93,2.93,3.48,3.42,3.42
2019-09-01 10:00:00,1.72,0.47,2.50,4.06,2.67,0.46,2.06,3.13,3.72,3.65,3.65
2019-09-01 11:00:00,1.69,0.47,2.45,3.97,2.62,0.45,2.02,3.07,3.64,3.58,3.58
2019-09-01 12:00:00,1.55,0.43,2.25,3.65,2.41,0.41,1.85,2.82,3.35,3.29,3.29
2019-09-01 13:00:00,1.34,0.37,1.94,3.15,2.08,0.36,1.60,2.43,2.89,2.84,2.84
2019-09-01 14:00:00,1.32,0.36,1.91,3.11,2.05,0.35,1.58,2.40,2.85,2.80,2.80
2019-09-01 15:00:00,1.41,0.39,2.05,3.33,2.19,0.38,1.69,2.57,3.05,3.00,3.00
2019-09-01 16:00:00,1.54,0.42,2.23,3.62,2.39,0.41,1.84,2.79,3.32,3.26,3.26
2019-09-01 17:00:00,1.57,0.43,2.28,3.71,2.44,0.42,1.88,2.86,3.40,3.34,3.34
2019-09-01 18:00:00,1.48,0.41,2.15,3.49,2.30,0.40,1.77,2.69,3.20,3.15,3.15
2019-09-01 19:00:00,1.14,0.31,1.66,2.69,1.77,0.30,1.36,2.08,2.46,2.42,2.42
2019-09-01 20:00:00,0.71,0.20,1.03,1.67,1.10,0.19,0.84,1.29,1.53,1.50,1.50
2019-09-01 21:00:00,0.61,0.17,0.89,1.45,0.95,0.16,0.73,1.12,1.33,1.30,1.30
2019-09-01 22:00:00,0.76,0.21,1.10,1.79,1.18,0.20,0.91,1.38,1.64,1.61,1.61
2019-09-01 23:00:00,0.87,0.24,1.26,2.04,1.35,0.23,1.04,1.58,1.87,1.84,1.84
