techs,demand_electricity_E3B,demand_electricity_E3C,demand_electricity_E1A,demand_electricity_E3B,demand_electricity_E2A,demand_electricity_E3C,demand_electricity_E2A,demand_electricity_E2A,demand_electricity_E2A,demand_electricity_E3C,demand_mobility,demand_electricity_E3C
nodes,Amp_125,Amp_160,Amp_25,Amp_250,Amp_35,Amp_400,Amp_50,Amp_63,Amp_80,kVA_630,EV_charger,VD_Lem
2019-09-01 00:00:00,12.79,4.28,7.39,44.74,11.59,11.82,6.94,13.48,23.14,43.66,0,164.79
2019-09-01 01:00:00,12.41,4.15,6.33,43.42,11.29,11.47,6.76,13.13,22.54,42.38,0,167.47
2019-09-01 02:00:00,12.73,4.26,5.92,44.53,10.83,11.76,6.49,12.60,21.63,43.45,0,167.47
2019-09-01 03:00:00,12.33,4.12,5.72,43.14,10.55,11.40,6.32,12.28,21.07,42.10,0,168.15
2019-09-01 04:00:00,12.64,4.23,5.65,44.24,10.95,11.69,6.56,12.74,21.86,43.18,0,168.48
2019-09-01 05:00:00,12.35,4.13,5.64,43.23,12.29,11.42,7.36,14.30,24.53,42.18,0,166.47
2019-09-01 06:00:00,11.88,3.97,6.51,41.55,13.68,10.98,8.19,15.92,27.32,40.55,0,162.44
2019-09-01 07:00:00,12.46,4.17,8.59,43.61,14.53,11.52,8.70,16.90,29.01,42.55,0,159.75
2019-09-01 08:00:00,13.51,4.52,10.50,47.28,14.62,12.49,8.75,17.00,29.18,46.14,0,160.43
2019-09-01 09:00:00,14.67,4.91,11.59,51.32,14.77,13.56,8.85,17.19,29.50,50.08,0,159.75
2019-09-01 10:00:00,14.94,5.00,11.85,52.27,15.84,13.81,9.48,18.43,31.62,51.01,225,160.09
2019-09-01 11:00:00,15.39,5.15,12.63,53.86,15.68,14.23,9.39,18.25,31.32,52.56,225,158.08
2019-09-01 12:00:00,15.61,5.22,12.38,54.61,15.36,14.42,9.20,17.87,30.67,53.29,225,154.05
2019-09-01 13:00:00,15.28,5.11,11.82,53.46,15.27,14.12,9.14,17.76,30.48,52.17,225,150.36
2019-09-01 14:00:00,15.26,5.10,11.38,53.39,15.01,14.10,8.99,17.46,29.96,52.10,225,148.68
2019-09-01 15:00:00,15.03,5.03,11.49,52.61,15.75,13.90,9.43,18.33,31.45,51.34,225,148.68
2019-09-01 16:00:00,14.71,4.92,14.11,51.47,17.09,13.60,10.24,19.88,34.12,50.23,225,149.35
2019-09-01 17:00:00,14.30,4.78,14.70,50.05,18.07,13.22,10.82,21.02,36.07,48.84,225,151.36
2019-09-01 18:00:00,14.19,4.75,13.51,49.64,18.47,13.11,11.06,21.48,36.87,48.45,0,151.03
2019-09-01 19:00:00,15.49,5.18,13.78,54.21,17.76,14.32,10.64,20.66,35.46,52.90,0,149.69
2019-09-01 20:00:00,15.71,5.26,13.34,54.98,17.10,14.52,10.24,19.89,34.13,53.66,0,150.02
2019-09-01 21:00:00,14.78,4.94,11.96,51.73,15.31,13.66,9.17,17.81,30.56,50.48,0,148.34
2019-09-01 22:00:00,13.80,4.62,9.90,48.29,13.36,12.76,8.00,15.54,26.67,47.13,0,148.34
2019-09-01 23:00:00,13.41,4.49,7.93,46.94,12.06,12.40,7.22,14.03,24.08,45.81,0,151.03
2019-09-02 00:00:00,13.84,4.63,6.65,48.41,11.13,12.79,6.67,12.95,22.23,47.24,0,150.69
2019-09-02 01:00:00,13.47,4.50,5.87,47.13,10.96,12.45,6.57,12.76,21.89,45.99,0,152.04
2019-09-02 02:00:00,13.48,4.51,5.66,47.16,10.53,12.46,6.31,12.25,21.02,46.02,0,154.72
2019-09-02 03:00:00,13.33,4.46,5.68,46.65,10.43,12.32,6.24,12.13,20.82,45.53,0,156.40
2019-09-02 04:00:00,14.07,4.70,5.80,49.22,10.98,13.00,6.58,12.78,21.93,48.04,0,158.08
2019-09-02 05:00:00,16.21,5.42,6.46,56.71,13.06,14.98,7.82,15.20,26.08,55.35,0,159.75
2019-09-02 06:00:00,13.46,4.50,7.93,47.10,15.32,12.44,9.17,17.82,30.58,45.96,0,159.08
2019-09-02 07:00:00,19.82,6.63,9.42,69.34,18.07,18.31,10.82,21.02,36.07,67.66,0,159.08
2019-09-02 08:00:00,21.46,7.18,10.35,75.09,18.65,19.83,11.17,21.70,37.24,73.28,0,158.41
2019-09-02 09:00:00,22.48,7.52,10.57,78.67,18.45,20.78,11.05,21.47,36.84,76.77,0,158.08
2019-09-02 10:00:00,23.28,7.79,10.51,81.47,19.23,21.52,11.52,22.37,38.39,79.51,225,159.08
2019-09-02 11:00:00,21.70,7.26,10.65,75.93,19.00,20.06,11.38,22.10,37.93,74.10,225,158.75
2019-09-02 12:00:00,22.93,7.67,9.91,80.23,18.60,21.19,11.14,21.64,37.14,78.29,225,158.08
2019-09-02 13:00:00,22.94,7.67,9.61,80.26,18.86,21.20,11.30,21.95,37.66,78.33,225,157.07
2019-09-02 14:00:00,22.05,7.38,9.75,77.16,18.61,20.38,11.15,21.65,37.16,75.30,225,156.06
2019-09-02 15:00:00,18.33,6.13,10.52,64.14,18.86,16.94,11.29,21.94,37.64,62.59,225,154.38
2019-09-02 16:00:00,12.74,4.26,14.04,44.57,19.09,11.77,11.43,22.21,38.12,43.50,225,155.06
2019-09-02 17:00:00,10.51,3.52,13.95,36.79,18.86,9.72,11.29,21.94,37.64,35.90,225,154.72
2019-09-02 18:00:00,10.56,3.53,12.76,36.93,19.05,9.76,11.41,22.16,38.03,36.04,0,155.06
2019-09-02 19:00:00,12.62,4.22,13.17,44.17,18.59,11.67,11.13,21.63,37.12,43.10,0,158.08
2019-09-02 20:00:00,12.32,4.12,13.21,43.10,17.53,11.38,10.50,20.40,35.00,42.06,0,157.74
2019-09-02 21:00:00,9.91,3.31,12.08,34.66,15.62,9.16,9.35,18.17,31.18,33.82,0,158.41
2019-09-02 22:00:00,15.27,5.11,10.36,53.43,14.08,14.11,8.43,16.38,28.11,52.14,0,158.41
2019-09-02 23:00:00,13.75,4.60,8.51,48.10,12.64,12.70,7.57,14.71,25.24,46.94,0,157.07
2019-09-03 00:00:00,13.82,4.62,7.17,48.36,11.67,12.77,6.99,13.57,23.30,47.20,0,157.74
2019-09-03 01:00:00,13.32,4.46,6.18,46.61,11.40,12.31,6.83,13.27,22.77,45.48,0,158.75
2019-09-03 02:00:00,13.57,4.54,5.86,47.47,10.77,12.54,6.45,12.53,21.50,46.33,0,158.75
2019-09-03 03:00:00,13.62,4.56,5.71,47.66,10.66,12.59,6.38,12.40,21.28,46.51,0,157.07
2019-09-03 04:00:00,14.13,4.73,5.79,49.44,11.36,13.06,6.80,13.22,22.68,48.25,0,156.40
2019-09-03 05:00:00,16.41,5.49,6.50,57.43,13.59,15.17,8.14,15.80,27.12,56.05,0,156.73
2019-09-03 06:00:00,14.04,4.69,8.15,49.11,16.30,12.97,9.76,18.96,32.54,47.93,0,158.41
2019-09-03 07:00:00,20.38,6.82,9.12,71.32,19.04,18.84,11.40,22.15,38.01,69.60,0,160.76
2019-09-03 08:00:00,22.27,7.45,9.74,77.94,19.74,20.59,11.82,22.97,39.42,76.06,0,161.10
2019-09-03 09:00:00,23.31,7.80,9.47,81.58,19.44,21.55,11.64,22.61,38.81,79.61,0,159.75
2019-09-03 10:00:00,24.10,8.06,9.56,84.32,19.64,22.27,11.76,22.85,39.21,82.29,225,156.73
2019-09-03 11:00:00,22.31,7.46,10.04,78.05,19.71,20.62,11.80,22.93,39.35,76.17,225,153.04
2019-09-03 12:00:00,23.42,7.83,9.31,81.96,19.20,21.65,11.50,22.34,38.34,79.99,225,153.38
2019-09-03 13:00:00,23.80,7.96,9.13,83.26,19.12,21.99,11.45,22.25,38.18,81.25,225,151.03
2019-09-03 14:00:00,22.66,7.58,9.31,79.29,19.05,20.94,11.41,22.17,38.04,77.38,225,148.68
2019-09-03 15:00:00,18.79,6.28,9.91,65.74,19.36,17.36,11.59,22.52,38.65,64.15,225,146.33
2019-09-03 16:00:00,13.10,4.38,13.67,45.85,19.17,12.11,11.48,22.30,38.27,44.75,225,145.32
2019-09-03 17:00:00,10.81,3.62,14.00,37.83,19.52,9.99,11.69,22.71,38.97,36.92,225,152.04
2019-09-03 18:00:00,10.99,3.68,12.91,38.46,19.17,10.16,11.48,22.30,38.28,37.53,0,159.42
2019-09-03 19:00:00,13.43,4.49,12.82,46.98,18.89,12.41,11.31,21.97,37.71,45.85,0,168.15
2019-09-03 20:00:00,13.47,4.51,13.17,47.14,18.14,12.45,10.86,21.11,36.22,46.00,0,170.83
2019-09-03 21:00:00,10.99,3.67,11.68,38.44,15.68,10.15,9.39,18.25,31.31,37.51,0,169.49
2019-09-03 22:00:00,17.00,5.69,10.33,59.49,14.13,15.71,8.46,16.43,28.20,58.06,0,169.49
2019-09-03 23:00:00,15.24,5.10,8.44,53.33,12.84,14.09,7.69,14.94,25.64,52.05,0,169.15
2019-09-04 00:00:00,15.32,5.12,7.16,53.61,11.81,14.16,7.07,13.74,23.58,52.32,0,171.84
2019-09-04 01:00:00,15.03,5.03,6.17,52.58,11.55,13.89,6.91,13.43,23.05,51.31,0,171.50
2019-09-04 02:00:00,15.15,5.07,5.79,53.01,11.06,14.00,6.62,12.86,22.08,51.73,0,169.15
2019-09-04 03:00:00,14.81,4.95,5.77,51.83,10.95,13.69,6.55,12.73,21.85,50.58,0,165.80
2019-09-04 04:00:00,15.49,5.18,5.91,54.18,11.54,14.31,6.91,13.42,23.04,52.88,0,162.78
2019-09-04 05:00:00,18.25,6.10,6.48,63.85,13.76,16.87,8.24,16.01,27.48,62.31,0,163.11
2019-09-04 06:00:00,14.99,5.01,8.01,52.46,16.43,13.86,9.84,19.11,32.80,51.19,0,164.79
2019-09-04 07:00:00,21.23,7.10,9.28,74.28,19.21,19.62,11.51,22.35,38.36,72.48,0,167.47
2019-09-04 08:00:00,22.89,7.66,10.00,80.10,19.84,21.16,11.88,23.08,39.61,78.17,0,167.81
2019-09-04 09:00:00,24.01,8.03,9.78,84.02,19.32,22.19,11.57,22.47,38.56,82.00,0,167.47
2019-09-04 10:00:00,24.57,8.22,9.60,85.98,19.73,22.71,11.81,22.95,39.39,83.91,225,167.81
2019-09-04 11:00:00,22.74,7.60,10.07,79.56,19.55,21.02,11.71,22.74,39.03,77.64,225,168.82
2019-09-04 12:00:00,23.64,7.91,9.78,82.73,18.98,21.85,11.36,22.07,37.88,80.73,225,171.17
2019-09-04 13:00:00,23.75,7.94,9.34,83.09,18.84,21.95,11.28,21.91,37.61,81.08,225,172.17
2019-09-04 14:00:00,22.73,7.60,9.42,79.55,18.65,21.01,11.17,21.70,37.24,77.63,225,170.49
2019-09-04 15:00:00,19.14,6.40,10.06,66.96,18.95,17.69,11.35,22.05,37.84,65.34,225,169.49
2019-09-04 16:00:00,13.36,4.47,13.39,46.75,19.68,12.35,11.78,22.89,39.29,45.63,225,168.82
2019-09-04 17:00:00,10.85,3.63,13.94,37.96,19.70,10.03,11.80,22.92,39.33,37.04,225,169.15
2019-09-04 18:00:00,10.84,3.63,12.73,37.93,19.91,10.02,11.92,23.16,39.75,37.01,0,170.49
2019-09-04 19:00:00,13.61,4.55,12.74,47.63,19.72,12.58,11.81,22.94,39.38,46.48,0,170.49
2019-09-04 20:00:00,13.28,4.44,13.14,46.47,18.55,12.27,11.11,21.58,37.04,45.35,0,168.48
2019-09-04 21:00:00,10.48,3.51,11.89,36.68,15.95,9.69,9.55,18.55,31.84,35.79,0,165.46
2019-09-04 22:00:00,15.89,5.31,10.30,55.59,14.21,14.68,8.51,16.53,28.36,54.25,0,166.13
2019-09-04 23:00:00,14.50,4.85,8.46,50.72,12.71,13.40,7.61,14.79,25.38,49.50,0,166.80
2019-09-05 00:00:00,14.57,4.87,7.14,50.99,11.76,13.47,7.04,13.68,23.48,49.76,0,169.49
2019-09-05 01:00:00,14.50,4.85,6.25,50.73,11.57,13.40,6.93,13.46,23.10,49.51,0,172.84
2019-09-05 02:00:00,14.38,4.81,5.92,50.31,11.21,13.29,6.71,13.04,22.38,49.10,0,167.81
2019-09-05 03:00:00,14.78,4.94,5.81,51.71,11.04,13.66,6.61,12.85,22.05,50.46,0,161.77
2019-09-05 04:00:00,15.47,5.17,5.90,54.13,11.69,14.30,7.00,13.60,23.34,52.82,0,155.06
2019-09-05 05:00:00,17.91,5.99,6.61,62.68,14.05,16.56,8.41,16.34,28.05,61.17,0,150.36
2019-09-05 06:00:00,14.68,4.91,8.14,51.37,16.62,13.57,9.95,19.33,33.18,50.13,0,150.69
2019-09-05 07:00:00,21.13,7.07,9.58,73.93,18.89,19.53,11.31,21.97,37.71,72.15,0,152.37
2019-09-05 08:00:00,22.94,7.67,9.93,80.26,19.80,21.20,11.86,23.03,39.53,78.33,0,153.71
2019-09-05 09:00:00,23.75,7.94,9.99,83.09,19.55,21.95,11.71,22.74,39.03,81.08,0,152.71
2019-09-05 10:00:00,24.44,8.17,9.85,85.51,20.30,22.59,12.16,23.62,40.53,83.45,225,151.70
2019-09-05 11:00:00,22.97,7.68,10.08,80.36,20.06,21.23,12.02,23.34,40.06,78.42,225,149.35
2019-09-05 12:00:00,23.93,8.00,9.65,83.72,19.40,22.11,11.62,22.57,38.74,81.70,225,149.01
2019-09-05 13:00:00,23.92,8.00,9.36,83.69,19.49,22.10,11.67,22.67,38.90,81.67,225,148.34
2019-09-05 14:00:00,22.82,7.63,9.38,79.85,19.37,21.09,11.60,22.54,38.67,77.92,225,148.68
2019-09-05 15:00:00,19.37,6.48,10.20,67.79,19.45,17.91,11.65,22.62,38.83,66.16,225,149.69
2019-09-05 16:00:00,13.63,4.56,13.36,47.69,19.54,12.60,11.70,22.74,39.02,46.54,225,150.69
2019-09-05 17:00:00,11.33,3.79,13.81,39.64,19.71,10.47,11.80,22.93,39.35,38.69,225,153.71
2019-09-05 18:00:00,11.37,3.80,12.86,39.77,19.68,10.51,11.78,22.89,39.29,38.82,0,154.72
2019-09-05 19:00:00,14.25,4.77,13.49,49.87,19.54,13.17,11.70,22.73,39.01,48.67,0,156.73
2019-09-05 20:00:00,13.90,4.65,13.29,48.62,18.62,12.84,11.15,21.67,37.18,47.45,0,161.43
2019-09-05 21:00:00,10.93,3.65,12.06,38.24,16.13,10.10,9.66,18.76,32.20,37.31,0,162.78
