techs,demand_electricity_E3B,demand_electricity_E3C,demand_electricity_E1A,demand_electricity_E3B,demand_electricity_E2A,demand_electricity_E3C,demand_electricity_E2A,demand_electricity_E2A,demand_electricity_E2A,demand_electricity_E3C,demand_mobility,demand_electricity_E3C
nodes,Amp_125,Amp_160,Amp_25,Amp_250,Amp_35,Amp_400,Amp_50,Amp_63,Amp_80,kVA_630,EV_charger,VD_Lem
2019-09-01 00:00:00,20.65,6.91,11.95,72.27,18.72,19.09,11.21,21.78,37.38,94.99,0,248.937
2019-09-01 01:00:00,20.05,6.71,10.22,70.15,18.24,18.53,10.92,21.22,36.41,92.20,0,252.993
2019-09-01 02:00:00,20.56,6.88,9.56,71.94,17.50,19.00,10.48,20.36,34.94,94.54,0,252.993
2019-09-01 03:00:00,19.92,6.66,9.23,69.70,17.05,18.41,10.21,19.83,34.04,91.60,0,254.007
2019-09-01 04:00:00,20.43,6.83,9.13,71.48,17.69,18.88,10.59,20.58,35.31,93.94,0,254.514
2019-09-01 05:00:00,19.96,6.67,9.11,69.83,19.85,18.45,11.89,23.09,39.63,91.78,0,251.472
2019-09-01 06:00:00,19.18,6.42,10.51,67.13,22.10,17.73,13.24,25.71,44.13,88.22,0,245.388
2019-09-01 07:00:00,20.13,6.73,13.87,70.44,23.47,18.61,14.06,27.31,46.86,92.58,0,241.332
2019-09-01 08:00:00,21.83,7.30,16.97,76.38,23.61,20.18,14.14,27.47,47.14,100.39,0,242.346
2019-09-01 09:00:00,23.70,7.92,18.73,82.91,23.87,21.90,14.29,27.77,47.65,108.97,0,241.332
2019-09-01 10:00:00,24.13,8.07,19.14,84.44,25.59,22.30,15.32,29.77,51.08,110.98,225,241.839
2019-09-01 11:00:00,24.87,8.32,20.40,87.00,25.34,22.98,15.17,29.48,50.59,114.35,225,238.797
2019-09-01 12:00:00,25.21,8.43,19.99,88.22,24.82,23.30,14.86,28.87,49.55,115.94,225,232.713
2019-09-01 13:00:00,24.68,8.25,19.09,86.36,24.67,22.81,14.77,28.70,49.25,113.50,225,227.136
2019-09-01 14:00:00,24.65,8.24,18.39,86.25,24.24,22.78,14.52,28.20,48.40,113.36,225,224.601
2019-09-01 15:00:00,24.29,8.12,18.56,84.98,25.45,22.45,15.24,29.61,50.81,111.69,225,224.601
2019-09-01 16:00:00,23.77,7.95,22.80,83.16,27.61,21.96,16.54,32.12,55.13,109.29,225,225.615
2019-09-01 17:00:00,23.11,7.73,23.75,80.85,29.18,21.35,17.48,33.95,58.27,106.26,225,228.657
2019-09-01 18:00:00,22.92,7.67,21.83,80.20,29.83,21.18,17.86,34.70,59.56,105.40,0,228.15
2019-09-01 19:00:00,25.03,8.37,22.25,87.57,28.69,23.13,17.18,33.38,57.29,115.09,0,226.122
2019-09-01 20:00:00,25.39,8.49,21.56,88.82,27.62,23.46,16.54,32.13,55.14,116.74,0,226.629
2019-09-01 21:00:00,23.88,7.99,19.32,83.57,24.73,22.07,14.81,28.77,49.37,109.84,0,224.094
2019-09-01 22:00:00,22.30,7.46,16.00,78.02,21.58,20.61,12.92,25.10,43.08,102.54,0,224.094
2019-09-01 23:00:00,21.67,7.25,12.82,75.83,19.48,20.03,11.67,22.66,38.90,99.66,0,228.15
2019-09-02 00:00:00,22.35,7.48,10.74,78.21,17.99,20.66,10.77,20.92,35.91,102.79,0,227.643
2019-09-02 01:00:00,21.76,7.28,9.48,76.13,17.71,20.11,10.61,20.61,35.36,100.06,0,229.671
2019-09-02 02:00:00,21.77,7.28,9.14,76.18,17.01,20.12,10.19,19.79,33.96,100.13,0,233.727
2019-09-02 03:00:00,21.54,7.20,9.17,75.36,16.84,19.91,10.09,19.60,33.63,99.05,0,236.262
2019-09-02 04:00:00,22.73,7.60,9.37,79.52,17.75,21.00,10.63,20.64,35.43,104.51,0,238.797
2019-09-02 05:00:00,26.18,8.76,10.44,91.62,21.10,24.20,12.64,24.55,42.13,120.41,0,241.332
2019-09-02 06:00:00,21.74,7.27,12.81,76.09,24.75,20.10,14.82,28.79,49.41,100.00,0,240.318
2019-09-02 07:00:00,32.01,10.71,15.22,112.01,29.19,29.59,17.48,33.95,58.27,147.22,0,240.318
2019-09-02 08:00:00,34.67,11.59,16.72,121.31,30.13,32.04,18.04,35.05,60.16,159.43,0,239.304
2019-09-02 09:00:00,36.32,12.15,17.08,127.09,29.81,33.57,17.85,34.68,59.52,167.03,0,238.797
2019-09-02 10:00:00,37.61,12.58,16.98,131.61,31.06,34.76,18.60,36.14,62.02,172.98,225,240.318
2019-09-02 11:00:00,35.06,11.73,17.21,122.67,30.69,32.40,18.38,35.70,61.27,161.22,225,239.811
2019-09-02 12:00:00,37.04,12.39,16.01,129.60,30.05,34.23,18.00,34.96,60.00,170.33,225,238.797
2019-09-02 13:00:00,37.06,12.39,15.52,129.66,30.47,34.25,18.25,35.45,60.84,170.41,225,237.276
2019-09-02 14:00:00,35.62,11.91,15.75,124.65,30.07,32.92,18.01,34.98,60.03,163.82,225,235.755
2019-09-02 15:00:00,29.61,9.90,16.99,103.61,30.46,27.37,18.24,35.44,60.81,136.18,225,233.22
2019-09-02 16:00:00,20.58,6.88,22.68,72.01,30.85,19.02,18.47,35.88,61.59,94.64,225,234.234
2019-09-02 17:00:00,16.99,5.68,22.54,59.43,30.46,15.70,18.24,35.44,60.81,78.11,225,233.727
2019-09-02 18:00:00,17.05,5.70,20.61,59.67,30.77,15.76,18.43,35.79,61.43,78.42,0,234.234
2019-09-02 19:00:00,20.39,6.82,21.28,71.35,30.03,18.85,17.98,34.94,59.96,93.78,0,238.797
2019-09-02 20:00:00,19.90,6.65,21.35,69.62,28.32,18.39,16.96,32.95,56.55,91.50,0,238.29
2019-09-02 21:00:00,16.00,5.35,19.52,55.99,25.23,14.79,15.11,29.35,50.37,73.59,0,239.304
2019-09-02 22:00:00,24.67,8.25,16.74,86.32,22.74,22.80,13.62,26.46,45.41,113.45,0,239.304
2019-09-02 23:00:00,22.21,7.43,13.75,77.70,20.42,20.52,12.23,23.76,40.77,102.12,0,237.276
2019-09-03 00:00:00,22.33,7.47,11.58,78.13,18.85,20.64,11.29,21.93,37.63,102.68,0,238.29
2019-09-03 01:00:00,21.52,7.20,9.99,75.29,18.42,19.89,11.03,21.43,36.78,98.96,0,239.811
2019-09-03 02:00:00,21.92,7.33,9.46,76.69,17.40,20.26,10.42,20.24,34.73,100.80,0,239.811
2019-09-03 03:00:00,22.00,7.36,9.22,76.99,17.22,20.34,10.31,20.03,34.37,101.19,0,237.276
2019-09-03 04:00:00,22.83,7.63,9.36,79.87,18.35,21.10,10.99,21.35,36.64,104.97,0,236.262
2019-09-03 05:00:00,26.52,8.87,10.50,92.78,21.95,24.51,13.14,25.53,43.82,121.94,0,236.769
2019-09-03 06:00:00,22.68,7.58,13.17,79.34,26.33,20.96,15.77,30.63,52.57,104.28,0,239.304
2019-09-03 07:00:00,32.93,11.01,14.74,115.21,30.76,30.43,18.42,35.78,61.41,151.42,0,242.853
2019-09-03 08:00:00,35.98,12.03,15.74,125.90,31.90,33.26,19.10,37.11,63.68,165.47,0,243.36
2019-09-03 09:00:00,37.66,12.60,15.30,131.79,31.40,34.81,18.81,36.53,62.70,173.20,0,241.332
2019-09-03 10:00:00,38.93,13.02,15.44,136.22,31.73,35.98,19.00,36.91,63.35,179.03,225,236.769
2019-09-03 11:00:00,36.04,12.05,16.22,126.09,31.84,33.31,19.07,37.04,63.58,165.72,225,231.192
2019-09-03 12:00:00,37.84,12.66,15.05,132.41,31.02,34.97,18.58,36.09,61.94,174.03,225,231.699
2019-09-03 13:00:00,38.44,12.86,14.76,134.50,30.89,35.53,18.50,35.94,61.67,176.78,225,228.15
2019-09-03 14:00:00,36.61,12.24,15.04,128.10,30.78,33.83,18.43,35.81,61.45,168.36,225,224.601
2019-09-03 15:00:00,30.35,10.15,16.01,106.19,31.27,28.05,18.73,36.38,62.44,139.57,225,221.052
2019-09-03 16:00:00,21.17,7.08,22.09,74.07,30.96,19.57,18.54,36.02,61.82,97.35,225,219.531
2019-09-03 17:00:00,17.47,5.84,22.61,61.11,31.53,16.14,18.88,36.69,62.96,80.32,225,229.671
2019-09-03 18:00:00,17.76,5.94,20.86,62.13,30.97,16.41,18.55,36.03,61.84,81.65,0,240.825
2019-09-03 19:00:00,21.69,7.25,20.70,75.90,30.51,20.05,18.27,35.49,60.91,99.76,0,254.007
