,grid_sink
2019-09-01 00:00:00,-0.4963
2019-09-01 01:00:00,-0.5159
2019-09-01 02:00:00,-0.5177
2019-09-01 03:00:00,-0.5219
2019-09-01 04:00:00,-0.565
2019-09-01 05:00:00,-0.6027
2019-09-01 06:00:00,-0.6836
2019-09-01 07:00:00,-0.7233
2019-09-01 08:00:00,-0.6968
2019-09-01 09:00:00,-0.6535
2019-09-01 10:00:00,-0.5898
2019-09-01 11:00:00,-0.5487
2019-09-01 12:00:00,-0.5116
2019-09-01 13:00:00,-0.5339
2019-09-01 14:00:00,-0.5313
2019-09-01 15:00:00,-0.5394
2019-09-01 16:00:00,-0.584
2019-09-01 17:00:00,-0.6711
2019-09-01 18:00:00,-0.7049
2019-09-01 19:00:00,-0.7509
2019-09-01 20:00:00,-0.7199
2019-09-01 21:00:00,-0.683
2019-09-01 22:00:00,-0.6199
2019-09-01 23:00:00,-0.5449
2019-09-02 00:00:00,-0.526
2019-09-02 01:00:00,-0.4887
2019-09-02 02:00:00,-0.4653
2019-09-02 03:00:00,-0.4326
2019-09-02 04:00:00,-0.4616
2019-09-02 05:00:00,-0.5153
2019-09-02 06:00:00,-0.602
2019-09-02 07:00:00,-0.636
2019-09-02 08:00:00,-0.6513
2019-09-02 09:00:00,-0.5904
2019-09-02 10:00:00,-0.5669
2019-09-02 11:00:00,-0.4863
2019-09-02 12:00:00,-0.3512
2019-09-02 13:00:00,-0.3321
2019-09-02 14:00:00,-0.3339
2019-09-02 15:00:00,-0.3806
2019-09-02 16:00:00,-0.4367
2019-09-02 17:00:00,-0.5547
2019-09-02 18:00:00,-0.6241
2019-09-02 19:00:00,-0.6639
2019-09-02 20:00:00,-0.62
2019-09-02 21:00:00,-0.4719
2019-09-02 22:00:00,-0.3609
2019-09-02 23:00:00,-0.3322
2019-09-03 00:00:00,-0.3345
2019-09-03 01:00:00,-0.2906
2019-09-03 02:00:00,-0.3259
2019-09-03 03:00:00,-0.3199
2019-09-03 04:00:00,-0.3019
2019-09-03 05:00:00,-0.3616
2019-09-03 06:00:00,-0.3449
2019-09-03 07:00:00,-0.44
2019-09-03 08:00:00,-0.4684
2019-09-03 09:00:00,-0.4505
2019-09-03 10:00:00,-0.2766
2019-09-03 11:00:00,-0.2165
2019-09-03 12:00:00,-0.1168
2019-09-03 13:00:00,-0.0927
2019-09-03 14:00:00,-0.1757
2019-09-03 15:00:00,-0.2508
2019-09-03 16:00:00,-0.3103
2019-09-03 17:00:00,-0.4682
2019-09-03 18:00:00,-0.5235
2019-09-03 19:00:00,-0.5999
2019-09-03 20:00:00,-0.5699
2019-09-03 21:00:00,-0.4699
2019-09-03 22:00:00,-0.4516
2019-09-03 23:00:00,-0.3896
2019-09-04 00:00:00,-0.3788
2019-09-04 01:00:00,-0.3129
2019-09-04 02:00:00,-0.2649
2019-09-04 03:00:00,-0.2726
2019-09-04 04:00:00,-0.2889
2019-09-04 05:00:00,-0.2634
2019-09-04 06:00:00,-0.281
2019-09-04 07:00:00,-0.2963
2019-09-04 08:00:00,-0.2799
2019-09-04 09:00:00,-0.286
2019-09-04 10:00:00,-0.1941
2019-09-04 11:00:00,-0.1624
2019-09-04 12:00:00,-0.1562
2019-09-04 13:00:00,-0.1348
2019-09-04 14:00:00,-0.149
2019-09-04 15:00:00,-0.1696
2019-09-04 16:00:00,-0.274
2019-09-04 17:00:00,-0.4449
2019-09-04 18:00:00,-0.5254
2019-09-04 19:00:00,-0.5798
2019-09-04 20:00:00,-0.5798
2019-09-04 21:00:00,-0.5149
2019-09-04 22:00:00,-0.4796
2019-09-04 23:00:00,-0.4052
2019-09-05 00:00:00,-0.3392
2019-09-05 01:00:00,-0.2899
2019-09-05 02:00:00,-0.2824
2019-09-05 03:00:00,-0.2928
2019-09-05 04:00:00,-0.3092
2019-09-05 05:00:00,-0.4374
2019-09-05 06:00:00,-0.5298
2019-09-05 07:00:00,-0.5764
2019-09-05 08:00:00,-0.5898
2019-09-05 09:00:00,-0.5332
2019-09-05 10:00:00,-0.4532
2019-09-05 11:00:00,-0.352
2019-09-05 12:00:00,-0.2971
2019-09-05 13:00:00,-0.2525
2019-09-05 14:00:00,-0.274
2019-09-05 15:00:00,-0.3373
2019-09-05 16:00:00,-0.4319
2019-09-05 17:00:00,-0.5415
2019-09-05 18:00:00,-0.6297
2019-09-05 19:00:00,-0.6589
2019-09-05 20:00:00,-0.5767
2019-09-05 21:00:00,-0.4732
2019-09-05 22:00:00,-0.4698
2019-09-05 23:00:00,-0.3698
2019-09-06 00:00:00,-0.3434
2019-09-06 01:00:00,-0.3682
2019-09-06 02:00:00,-0.3549
2019-09-06 03:00:00,-0.3804
2019-09-06 04:00:00,-0.3567
2019-09-06 05:00:00,-0.4108
2019-09-06 06:00:00,-0.5797
2019-09-06 07:00:00,-0.6322
2019-09-06 08:00:00,-0.6317
2019-09-06 09:00:00,-0.5624
2019-09-06 10:00:00,-0.5188
2019-09-06 11:00:00,-0.4691
2019-09-06 12:00:00,-0.326
2019-09-06 13:00:00,-0.3666
2019-09-06 14:00:00,-0.4035
2019-09-06 15:00:00,-0.4339
2019-09-06 16:00:00,-0.5044
2019-09-06 17:00:00,-0.5939
2019-09-06 18:00:00,-0.6372
2019-09-06 19:00:00,-0.704
2019-09-06 20:00:00,-0.6633
2019-09-06 21:00:00,-0.615
2019-09-06 22:00:00,-0.5399
2019-09-06 23:00:00,-0.5263
2019-09-07 00:00:00,-0.4852
2019-09-07 01:00:00,-0.4535
2019-09-07 02:00:00,-0.436
2019-09-07 03:00:00,-0.4358
2019-09-07 04:00:00,-0.457
2019-09-07 05:00:00,-0.4634
2019-09-07 06:00:00,-0.5546
2019-09-07 07:00:00,-0.5898
2019-09-07 08:00:00,-0.5947
2019-09-07 09:00:00,-0.5688
2019-09-07 10:00:00,-0.4509
2019-09-07 11:00:00,-0.4187
2019-09-07 12:00:00,-0.4199
2019-09-07 13:00:00,-0.4059
2019-09-07 14:00:00,-0.4273
2019-09-07 15:00:00,-0.4417
2019-09-07 16:00:00,-0.5122
2019-09-07 17:00:00,-0.5912
2019-09-07 18:00:00,-0.6186
2019-09-07 19:00:00,-0.6698
2019-09-07 20:00:00,-0.6699
2019-09-07 21:00:00,-0.6024
2019-09-07 22:00:00,-0.5563
2019-09-07 23:00:00,-0.5087
2019-09-08 00:00:00,-0.5119
2019-09-08 01:00:00,-0.4777
2019-09-08 02:00:00,-0.4702
2019-09-08 03:00:00,-0.4518
2019-09-08 04:00:00,-0.4491
2019-09-08 05:00:00,-0.474
2019-09-08 06:00:00,-0.5707
2019-09-08 07:00:00,-0.5899
2019-09-08 08:00:00,-0.594
2019-09-08 09:00:00,-0.5799
2019-09-08 10:00:00,-0.5535
2019-09-08 11:00:00,-0.523
2019-09-08 12:00:00,-0.4989
2019-09-08 13:00:00,-0.4678
2019-09-08 14:00:00,-0.4582
2019-09-08 15:00:00,-0.4629
2019-09-08 16:00:00,-0.4679
2019-09-08 17:00:00,-0.5199
2019-09-08 18:00:00,-0.5748
2019-09-08 19:00:00,-0.6054
2019-09-08 20:00:00,-0.5656
2019-09-08 21:00:00,-0.5372
2019-09-08 22:00:00,-0.4506
2019-09-08 23:00:00,-0.3534
2019-09-09 00:00:00,-0.3699
2019-09-09 01:00:00,-0.3081
2019-09-09 02:00:00,-0.2738
2019-09-09 03:00:00,-0.2616
2019-09-09 04:00:00,-0.2968
2019-09-09 05:00:00,-0.3486
2019-09-09 06:00:00,-0.4322
2019-09-09 07:00:00,-0.4995
2019-09-09 08:00:00,-0.5014
2019-09-09 09:00:00,-0.4715
2019-09-09 10:00:00,-0.4229
2019-09-09 11:00:00,-0.3999
2019-09-09 12:00:00,-0.4097
2019-09-09 13:00:00,-0.3641
2019-09-09 14:00:00,-0.3646
2019-09-09 15:00:00,-0.3615
2019-09-09 16:00:00,-0.4336
2019-09-09 17:00:00,-0.459
2019-09-09 18:00:00,-0.5055
2019-09-09 19:00:00,-0.5373
2019-09-09 20:00:00,-0.5349
2019-09-09 21:00:00,-0.4899
2019-09-09 22:00:00,-0.4682
2019-09-09 23:00:00,-0.4454
2019-09-10 00:00:00,-0.4708
2019-09-10 01:00:00,-0.429
2019-09-10 02:00:00,-0.422
2019-09-10 03:00:00,-0.418
2019-09-10 04:00:00,-0.418
2019-09-10 05:00:00,-0.426
2019-09-10 06:00:00,-0.4512
2019-09-10 07:00:00,-0.481
2019-09-10 08:00:00,-0.4976
2019-09-10 09:00:00,-0.4991
2019-09-10 10:00:00,-0.4898
2019-09-10 11:00:00,-0.4883
2019-09-10 12:00:00,-0.4699
2019-09-10 13:00:00,-0.4249
2019-09-10 14:00:00,-0.4189
2019-09-10 15:00:00,-0.4233
2019-09-10 16:00:00,-0.4419
2019-09-10 17:00:00,-0.5062
2019-09-10 18:00:00,-0.5394
2019-09-10 19:00:00,-0.5618
2019-09-10 20:00:00,-0.5539
2019-09-10 21:00:00,-0.5299
2019-09-10 22:00:00,-0.5139
2019-09-10 23:00:00,-0.5069
2019-09-11 00:00:00,-0.4914
2019-09-11 01:00:00,-0.455
2019-09-11 02:00:00,-0.455
2019-09-11 03:00:00,-0.4391
2019-09-11 04:00:00,-0.4285
2019-09-11 05:00:00,-0.4389
2019-09-11 06:00:00,-0.4489
2019-09-11 07:00:00,-0.4549
2019-09-11 08:00:00,-0.472
2019-09-11 09:00:00,-0.472
2019-09-11 10:00:00,-0.4584
2019-09-11 11:00:00,-0.45
2019-09-11 12:00:00,-0.4299
